,ZA,IA,ZB,IB,IO,PO,HIGH,CMP,CSELECT,FINAL
LOAD-0xC7,,,x,,,,,,,4
LOAD-0xC8,,,x,,,,,,,4
LOAD-0xC9,,,x,,,,,,,4
LOAD-0xCA,,,x,,,,,,,4
LOAD-0xCB,,,x,,,,,,,4
LOAD-0xCC,,,x,,,,,,,4
LOAD-0xCD,,,x,,,,,,,4
LOAD-0xCE,,,x,,,,,,,4
LOAD-0xCF,,,x,,,,,,,4
SAVE-0xD0,,,x,,,,,,,4
SAVE-0xD1,,,x,,,,,,,4
SAVE-0xD2,,,x,,,,,,,4
SAVE-0xD3,,,x,,,,,,,4
SAVE-0xD4,,,x,,,,,,,4
SAVE-0xD5,,,x,,,,,,,4
SAVE-0xD6,,,x,,,,,,,4
SAVE-0xD7,,,x,,,,,,,4
SAVE-0xD8,,,x,,,,,,,4
SAVE-0xD9,,,x,,,,,,,4
SAVE-0xDA,,,x,,,,,,,4
SAVE-0xDB,,,x,,,,,,,4
SAVE-0xDC,,,,,,,,,,0
SAVE-0xDD,,,,,,,,,,0
SAVE-0xDE,,,,,,,,,,0
SAVE-0xDF,,,,,,,,,,0
IN-0xE0,x,,x,,,,,,,5
IN-0xE1,x,,x,,,,,,,5
IN-0xE2,x,,x,,,,,,,5
IN-0xE3,x,,x,,,,,,,5
IN-0xE4,,,,,,,,,,0
IN-0xE5,,,,,,,,,,0
IN-0xE6,,,,,,,,,,0
IN-0xE7,,,,,,,,,,0
IN-0xE8,,,,,,,,,,0
IN-0xE9,,,,,,,,,,0
IN-0xEA,,,,,,,,,,0
IN-0xEB,,,,,,,,,,0
IN-0xEC,,,,,,,,,,0
IN-0xED,,,,,,,,,,0
IN-0xEE,,,,,,,,,,0
IN-0xEF,,,,,,,,,,0
OUT-0xF0,,,x,,,,,,,4
OUT-0xF1,,,x,,,,,,,4
OUT-0xF2,,,x,,,,,,,4
OUT-0xF3,,,x,,,,,,,4
OUT-0xF4,,,,,,,,,,0
OUT-0xF5,,,,,,,,,,0
OUT-0xF6,,,,,,,,,,0
OUT-0xF7,,,,,,,,,,0
OUT-0xF8,,,,,,,,,,0
OUT-0xF9,,,,,,,,,,0
OUT-0xFA,,,,,,,,,,0
OUT-0xFB,,,,,,,,,,0
OUT-0xFC,,,,,,,,,,0
OUT-0xFD,,,,,,,,,,0
OUT-0xFE,,,,,,,,,,0
HALT-0xFF,,,,,,,,,,0
