,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,UNIQUE VALUES,,ASSEMBLER INST
JMP,JMP-0x25,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x25,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,20084,,jmp > {label}
JMP,JMP-0x26,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x26,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,2010,,jmp >= {label}
JMP,JMP-0x27,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x27,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,20104,,jmp .<= {label}
JMP,JMP-0x28,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x28,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,20400,,jmp .< {label}
JMP,JMP-0x29,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x29,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,22,,jmp .> {label}
JMP,JMP-0x2A,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x2A,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,24,,jmp .>= {label}
JMP,JMP-0x2B,,,,,,,,,,,,,,,,,,,,,,,0,0,,JMP-0x2B,,,,,,,,,,,,,,,,,,,,,,,0,0,,28,,
JMP,JMP-0x2C,,,,,,,,,,,,,,,,,,,,,,,0,0,,JMP-0x2C,,,,,,,,,,,,,,,,,,,,,,,0,0,,30,,
JMP,JMP-0x2D,,,,,,,,,,,,,,,,,,,,,,,0,0,,JMP-0x2D,,,,,,,,,,,,,,,,,,,,,,,0,0,,40001,,
JMP,JMP-0x2E,,,,,,,,,,,,,,,,,,,,,,,0,0,,JMP-0x2E,,,,,,,,,,,,,,,,,,,,,,,0,0,,40002,,
JMP,JMP-0x2F,,,,,,,,,,,,,,,,,,,,,,,0,0,,JMP-0x2F,,,,,,,,,,,,,,,,,,,,,,,0,0,,40004,,
JMP,JMP-0x30,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x30,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,40008,,jmpr {number}
JMP,JMP-0x31,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x31,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,40010,,jmpr = {number}
JMP,JMP-0x32,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x32,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,4002,,jmpr != {number}
JMP,JMP-0x33,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x33,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,40028,,jmpr < {number}
JMP,JMP-0x34,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x34,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,4004,,jmpr <= {number}
JMP,JMP-0x35,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x35,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,40048,,jmpr > {number}
JMP,JMP-0x36,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x36,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,4008,,jmpr >= {number}
JMP,JMP-0x37,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x37,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,40088,,jmpr .< {number}
JMP,JMP-0x38,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x38,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,4010,,jmpr .<= {number}
JMP,JMP-0x39,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x39,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,40108,,jmpr .> {number}
JMP,JMP-0x3A,,,,,,,,,,x,,,,,,,,,,,x,,100200,7,,JMP-0x3A,,,,,,,,,,x,,x,,,,,,,,,x,,100A00,D,,40400,,jmpr .>= {number}
JMP,JMP-0x3B,,,,,,,,,,,,,,,,,,,,,,,0,0,,JMP-0x3B,,,,,,,,,,,,,,,,,,,,,,,0,0,,42,,
JMP,JMP-0x3C,,,,,,,,,,,,,,,,,,,,,,,0,0,,JMP-0x3C,,,,,,,,,,,,,,,,,,,,,,,0,0,,44,,
JMP,JMP-0x3D,,,,,,,,,,,,,,,,,,,,,,,0,0,,JMP-0x3D,,,,,,,,,,,,,,,,,,,,,,,0,0,,48,,
JMP,JMP-0x3E,,,,,,,,,,,,,,,,,,,,,,,0,0,,JMP-0x3E,,,,,,,,,,,,,,,,,,,,,,,0,0,,50,,
JMP,JMP-0x3F,,,,,,,,,,,,,,,,,,,,,,,0,0,,JMP-0x3F,,,,,,,,,,,,,,,,,,,,,,,0,0,,80001,,
OPP,OPP-0x40,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,80002,,opp clr
OPP,OPP-0x41,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,80004,,opp cmp off
OPP,OPP-0x42,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,80008,,opp cmp on
